date,category,keyword,sub_keywords,status
2026-06-16,건물주 실무 가이드,임대료 미납 대응 5단계 — 내용증명부터 명도소송까지,"내용증명,명도소송,임대차보호법",대기
2026-06-17,단기임대 전문,강남 단기임대 수익률 계산법 (2026 최신),"수익률,강남,2026",대기
2026-06-18,상업 건물 관리,근생 건물 관리비 누수 3곳 체크포인트,"관리비,근생,누수",대기
2026-06-19,하우스맨 케이스,18개월 공실 건물을 30일 만에 만실로 만든 방법,"공실,만실,케이스",대기
2026-06-20,하우스맨 SaaS 가이드,알림톡 자동 발송 설정 5분 튜토리얼,"알림톡,자동,튜토리얼",대기
2026-06-23,건물주 실무 가이드,임차인 계약 전 꼭 확인해야 할 체크리스트 15가지,"계약,체크리스트,리스크",대기
2026-06-24,단기임대 전문,풀옵션 원룸 세팅 — 필수 가전가구 20가지,"풀옵션,가전,가구",대기
2026-06-25,상업 건물 관리,오피스 사옥 유지관리 연간 예산 설계 공식,"예산,오피스,유지관리",대기
2026-06-26,건물주 실무 가이드,건물주 종합소득세 절세 5가지 방법,"절세,종합소득세,세무",대기
2026-06-27,하우스맨 SaaS 가이드,하우스맨 대시보드 핵심 지표 7개 읽는 법,"대시보드,지표,KPI",대기
2026-06-30,단기임대 전문,단기임대 가능 지역 TOP 10 (수요·수익률 기준),"지역,TOP10,수요",대기
2026-07-01,건물주 실무 가이드,임대차보호법 2026 개정안 핵심 정리,"임대차보호법,2026,개정",대기
2026-07-02,하우스맨 케이스,2년 누적 미납 90% 회수한 10호실 실제 사례,"미납,회수,케이스",대기
2026-07-03,상업 건물 관리,상가 임대료 재협상 타이밍과 근거,"재협상,상가,임대료",대기
2026-07-04,하우스맨 SaaS 가이드,퇴실 정산 자동화 — 보증금 공제부터 PDF 발송까지,"퇴실,정산,PDF",대기
2026-07-07,건물주 실무 가이드,건물 화재보험 가입 시 꼭 체크할 특약 5가지,"화재보험,특약,보험",대기
2026-07-08,단기임대 전문,단기임대 vs 장기임대 — 건물주 입장 손익 비교,"단기,장기,손익",대기
2026-07-09,상업 건물 관리,근생 건물 엘리베이터 법정 점검 주기 완벽 정리,"엘리베이터,점검,법정",대기
2026-07-10,건물주 실무 가이드,공실 기간에 임대료 줄이기 vs 기다리기 — 수학적 분석,"공실,임대료,분석",대기
2026-07-11,하우스맨 SaaS 가이드,변동관리비 안분 계산 — 전기·수도·공용비 공정하게 나누는 법,"관리비,안분,공정",대기
2026-07-14,단기임대 전문,단기임대 청소·린넨 업체 선정 기준 7가지,"청소,린넨,업체",대기
2026-07-15,건물주 실무 가이드,임대인의 원상복구 요구 범위 — 판례 분석,"원상복구,판례,임대인",대기
2026-07-16,상업 건물 관리,오피스텔 관리규약 필수 조항 10가지,"관리규약,오피스텔,조항",대기
2026-07-17,하우스맨 케이스,포르쉐 코리아 사옥 유지관리 10년 이야기,"포르쉐,사옥,10년",대기
2026-07-18,하우스맨 SaaS 가이드,건물별 전용 이메일로 문서 자동 통합 — 업계 유일 기능,"이메일,자동,통합",대기
